postId,posCommentCount,neuCommentCount,negCommentCount,totalCommentCount,netCompound
1991716644473195_2014469815531211,3,0,0,3,1.7982
1991716644473195_2014491438862382,2,0,0,2,1.1627
1991716644473195_2014505092194350,0,5,0,5,0
1991716644473195_2014507972194062,1,2,0,3,0.5994
1991716644473195_2014511395527053,5,7,0,12,2.7981
1991716644473195_2014517452193114,5,4,0,9,2.6488
1991716644473195_2014517545526438,3,0,0,3,1.6031
1991716644473195_2014518312193028,0,2,0,2,0
1991716644473195_2014525385525654,0,5,0,5,0
1991716644473195_2014674522177407,2,0,0,2,1.0764
1991716644473195_2014860512158808,3,1,0,4,1.6569
1991716644473195_2014968475481345,3,0,0,3,2.0029
1991716644473195_2014983338813192,1,0,0,1,0.4199
1991716644473195_2014988908812635,2,0,0,2,1.2846
1991716644473195_2015045212140338,1,0,0,1,0.636
1991716644473195_2015052182139641,2,1,0,3,1.0764
1991716644473195_2015056108805915,2,1,0,3,0.6468
1991716644473195_2015057315472461,2,0,0,2,1.2354
1991716644473195_2015085832136276,1,12,0,13,0.2023
1991716644473195_2015107422134117,4,0,0,4,2.6156
1991716644473195_2015107568800769,4,0,0,4,2.2391
1991716644473195_2015109128800613,2,0,0,2,1.1627
1991716644473195_2015109638800562,3,1,0,4,1.7621
1991716644473195_2015119842132875,2,1,0,3,1.0764
1991716644473195_2015130242131835,1,3,0,4,0.3612
1991716644473195_2015137475464445,2,1,0,3,1.1627
1991716644473195_2015207085457484,2,1,0,3,1.2354
1991716644473195_2015493485428844,1,0,0,1,0.636
1991716644473195_2015522615425931,1,0,0,1,0.636
1991716644473195_2015630488748477,1,0,0,1,0.636
1991716644473195_2015649662079893,2,0,1,3,0.636
1991716644473195_2015684855409707,2,0,0,2,1.1627
1991716644473195_2015709762073883,3,2,0,5,1.6684
1991716644473195_2015742978737228,2,0,0,2,0.9781
1991716644473195_2015800372064822,1,0,0,1,0.636
1991716644473195_2015820382062821,4,6,0,10,2.228
1991716644473195_2015831878728338,0,1,0,1,0
1991716644473195_2016135175364675,3,5,0,8,1.9962
1991716644473195_2016212602023599,2,1,0,3,1.1627
1991716644473195_2016222618689264,1,1,0,2,0.4215
1991716644473195_2016248472020012,2,0,0,2,1.1627
1991716644473195_2016266955351497,3,0,0,3,1.6942
1991716644473195_2016267192018140,0,1,1,2,-0.296
1991716644473195_2016298025348390,5,1,0,6,2.7227
1991716644473195_2016325618678964,3,1,0,4,1.5842
1991716644473195_2016360785342114,5,2,0,7,3.2701
1991716644473195_2016373628674163,0,4,0,4,0
1991716644473195_2016418472003012,4,0,0,4,2.0973
1991716644473195_2016451421999717,3,0,0,3,2.0137
1991716644473195_2016496905328502,5,5,1,11,1.6887
1991716644473195_2016504278661098,4,0,0,4,2.3814
1991716644473195_2016512688660257,4,2,0,6,1.6944
1991716644473195_2016552218656304,1,17,0,18,0.4466
1991716644473195_2016553291989530,0,1,1,2,-0.296
1991716644473195_2016565818654944,0,0,1,1,-0.6808
1991716644473195_2016743608637165,1,6,0,7,0.0772
1991716644473195_2016759518635574,2,2,0,4,0.9972
1991716644473195_2016778328633693,2,5,0,7,0.6582
1991716644473195_2016785695299623,4,0,0,4,2.1233
1991716644473195_2016794558632070,1,6,0,7,0.3182
1991716644473195_2016804018631124,8,3,0,11,4.5601
1991716644473195_2016831605295032,2,2,0,4,0.7364
1991716644473195_2016835451961314,1,0,0,1,0.636
1991716644473195_2016872431957616,1,0,0,1,0.636
1991716644473195_2016903621954497,0,1,0,1,0
1991716644473195_2016931785285014,1,0,0,1,0.636
1991716644473195_2016944751950384,1,0,0,1,0.636
1991716644473195_2017101238601402,1,0,0,1,0.636
1991716644473195_2017101965267996,3,2,0,5,1.5168
1991716644473195_2017105681934291,2,4,0,6,0.6979
1991716644473195_2017347661910093,2,5,0,7,1.1627
1991716644473195_2017445485233644,0,3,1,4,-0.5423
1991716644473195_2017573891887470,0,2,0,2,0
1991716644473195_2017744875203705,4,1,0,5,2.4659
1991716644473195_2017967348514791,1,1,0,2,0.5719
1991716644473195_2018038601840999,4,13,8,25,-0.2553
1991716644473195_2018045905173602,1,0,0,1,0.296
1991716644473195_2018144705163722,6,19,0,25,1.4527
1991716644473195_2018158501829009,1,5,3,9,-0.1846
1991716644473195_2018160641828795,1,2,1,4,-0.2287
1991716644473195_2018168845161308,2,5,3,10,-0.4444
1991716644473195_2018184298493096,7,18,0,25,2.9063
1991716644473195_2018185665159626,0,3,0,3,0
1991716644473195_2018187411826118,1,7,0,8,0.296
1991716644473195_2018194298492096,0,0,1,1,-0.296
1991716644473195_2018206511824208,2,3,0,5,0.6979
1991716644473195_2018208641823995,1,0,1,2,0
1991716644473195_2018213351823524,2,1,0,3,0.7804
1991716644473195_2018231325155060,0,2,1,3,-0.296
1991716644473195_2018266775151515,1,1,0,2,0.6369
1991716644473195_2018289871815872,1,1,0,2,0.9403
1991716644473195_2018292285148964,0,5,1,6,-0.296
1991716644473195_2018307165147476,0,0,1,1,-0.296
1991716644473195_2018573768454149,4,2,0,6,2.3797
1991716644473195_2018651831779676,0,2,0,2,0
1991716644473195_2018671991777660,5,11,3,19,0.9911
1991716644473195_2018672551777604,0,3,2,5,-0.7504
1991716644473195_2018712265106966,0,3,1,4,-0.296
1991716644473195_2018735771771282,4,13,2,19,0.9701
1991716644473195_2018767441768115,0,3,0,3,0
1991716644473195_2018798621764997,4,17,2,23,-0.0358
1991716644473195_2018805771764282,1,1,0,2,0.3612
1991716644473195_2018819605096232,1,14,1,16,-0.2307
1991716644473195_2018833521761507,2,1,2,5,0.1485
1991716644473195_2018881911756668,0,1,0,1,0
1991716644473195_2018884448423081,1,1,0,2,0.4404
1991716644473195_2018923845085808,2,3,0,5,0.7586
1991716644473195_2018946175083575,0,1,0,1,0
1991716644473195_2018973065080886,2,2,0,4,0.4384
1991716644473195_2019011288410397,2,1,1,4,0.4248
1991716644473195_2019041705074022,0,1,0,1,0
1991716644473195_2019055238406002,0,1,1,2,-0.5106
1991716644473195_2019067548404771,0,1,1,2,-0.296
1991716644473195_2019316148379911,2,3,1,6,0.6032
1991716644473195_2019328061712053,4,2,0,6,2.4529
1991716644473195_2019335025044690,0,1,0,1,0
1991716644473195_2019347005043492,3,2,2,7,0.4542
1991716644473195_2019400178371508,2,1,2,5,-0.0698
1991716644473195_2019439278367598,1,1,0,2,0.636
1991716644473195_2019508191694040,2,0,0,2,0.7811
1991716644473195_2019508631693996,3,1,0,4,1.5966
1991716644473195_2019518131693046,0,1,0,1,0
1991716644473195_2019547061690153,1,1,0,2,0.5859
1991716644473195_2019557185022474,3,21,1,25,0.4669
1991716644473195_2019595201685339,1,6,1,8,0.3034
1991716644473195_2019599765018216,3,2,0,5,1.3172
1991716644473195_2020288451616014,0,0,1,1,-0.296
1991716644473195_2020290028282523,1,8,2,11,-0.3277
1991716644473195_2020297628281763,0,4,0,4,0
1991716644473195_2020337031611156,1,6,2,9,-0.1516
1991716644473195_2020371318274394,2,0,0,2,1.1988
1991716644473195_2020380918273434,0,5,2,7,-0.8506
1991716644473195_2020435044934688,1,1,1,3,-0.3247
1991716644473195_2020486851596174,0,1,0,1,0
1991716644473195_2020532711591588,0,1,0,1,0
1991716644473195_2020545814923611,3,17,5,25,-0.548
1991716644473195_2020579138253612,0,5,0,5,0
1991716644473195_2020604814917711,1,7,0,8,0.0772
1991716644473195_2020608401584019,2,8,1,11,0.4034
1991716644473195_2020679104910282,1,14,2,17,-0.5148
1991716644473195_2020826051562254,3,1,0,4,1.264
1991716644473195_2020952798216246,0,1,0,1,0
1991716644473195_2020984031546456,1,3,0,4,0.5106
1991716644473195_2021014891543370,0,1,0,1,0
1991716644473195_2021017734876419,0,1,1,2,-0.5994
1991716644473195_2021023081542551,5,10,1,16,1.7328
1991716644473195_2021052584872934,1,4,0,5,0.5859
1991716644473195_2021092468202279,2,6,1,9,0.1334
1991716644473195_2021093071535552,1,4,0,5,0.4466
1991716644473195_2021285474849645,0,2,0,2,0
1991716644473195_2021307868180739,1,4,0,5,0.3818
1991716644473195_2021341761510683,0,3,0,3,0
1991716644473195_2021350098176516,2,2,0,4,0.7364
1991716644473195_2021362568175269,1,2,0,3,0.4404
